timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686202.073,-43.945,-29.297,-41.016,-6.348,0.000
1595686202.077,-40.039,-28.320,-41.504,-1.953,0.000
1595686202.081,-40.039,-28.320,-41.992,-13.184,0.000
1595686202.085,-46.875,-32.715,-43.457,-3.418,0.000
1595686202.089,-46.875,-34.180,-43.945,7.324,0.000
1595686202.093,-44.434,-36.621,-41.992,0.488,0.000
1595686202.096,-46.875,-41.016,-43.945,-8.301,0.000
1595686202.100,-39.551,-37.598,-42.480,-6.836,0.000
1595686202.104,-33.691,-34.668,-41.504,1.465,0.000
1595686202.108,-37.109,-33.691,-42.480,1.953,0.000
1595686202.112,-37.598,-30.273,-43.945,-9.277,0.000
1595686202.116,-32.715,-30.762,-44.922,-7.812,0.000
1595686202.120,-31.738,-31.250,-39.551,-4.883,0.000
1595686202.124,-31.250,-32.227,-40.527,-10.742,0.000
1595686202.128,-20.508,-35.156,-40.527,-3.418,0.000
1595686202.132,-9.277,-32.715,-37.598,-2.441,0.000
1595686202.135,-14.160,-29.297,-41.016,-9.277,0.000
1595686202.139,-23.438,-31.250,-42.969,-7.812,0.000
1595686202.143,-22.949,-29.297,-39.062,0.488,0.000
1595686202.147,-20.508,-27.344,-41.504,8.301,0.000
1595686202.151,-19.531,-28.809,-44.434,11.719,0.000
1595686202.155,-25.391,-30.273,-47.363,1.465,0.000
1595686202.159,-29.297,-31.250,-56.641,-3.418,0.000
1595686202.163,-26.855,-26.855,-55.664,5.371,0.000
1595686202.167,-28.809,-24.902,-50.781,5.371,0.000
1595686202.171,-28.320,-24.902,-48.828,6.836,0.000
1595686202.175,-24.414,-23.926,-46.875,10.742,0.000
1595686202.178,-24.902,-26.855,-46.387,7.812,0.000
1595686202.182,-26.855,-27.832,-46.387,11.230,0.000
1595686202.186,-25.391,-24.902,-43.457,6.836,0.000
1595686202.190,-23.926,-19.531,-44.434,-9.766,0.000
1595686202.194,-9.766,-17.090,-37.109,-2.441,0.000
1595686202.198,-0.488,-11.230,-27.832,0.977,0.000
1595686202.202,-14.648,-6.836,-33.203,-3.418,0.000
1595686202.206,-21.973,-9.277,-38.086,-2.930,0.000
1595686202.210,-10.254,-10.742,-33.203,7.324,0.000
1595686202.214,2.930,-8.789,-29.785,13.672,0.000
1595686202.218,-1.953,-7.812,-31.738,8.301,0.000
1595686202.221,-6.836,-7.812,-32.227,18.066,0.000
1595686202.225,-6.836,-2.441,-29.785,23.926,0.000
1595686202.229,-2.930,-2.930,-28.809,21.484,0.000
1595686202.233,-0.488,-10.254,-29.297,16.602,0.000
1595686202.237,-13.184,-13.672,-31.738,28.320,0.000
1595686202.241,-21.484,-15.625,-28.809,22.949,0.000
1595686202.245,-21.484,-18.555,-24.902,5.859,0.000
1595686202.249,-18.555,-20.508,-28.809,10.742,0.000
1595686202.253,-16.602,-26.367,-33.203,11.230,0.000
1595686202.257,-19.531,-27.832,-35.156,10.742,0.000
1595686202.260,-26.855,-23.438,-33.691,5.859,0.000
1595686202.264,-31.738,-25.391,-36.621,1.953,0.000
1595686202.268,-24.902,-24.902,-38.574,6.836,0.000
1595686202.272,-16.113,-24.902,-36.133,9.277,0.000
1595686202.276,-15.625,-25.879,-37.109,5.371,0.000
1595686202.280,-20.020,-21.973,-34.668,5.859,0.000
1595686202.284,-27.344,-19.531,-33.691,5.371,0.000
1595686202.288,-32.715,-20.508,-36.621,-0.977,0.000
1595686202.292,-39.062,-22.949,-40.527,0.000,0.000
1595686202.296,-42.480,-23.438,-42.969,-4.395,0.000
1595686202.300,-39.062,-17.090,-39.062,-9.277,0.000
1595686202.303,-50.293,-19.531,-39.551,-7.324,0.000
1595686202.307,-53.711,-24.414,-40.039,-7.324,0.000
1595686202.311,-39.551,-20.508,-39.062,-5.859,0.000
1595686202.315,-33.691,-17.578,-36.621,-9.766,0.000
1595686202.319,-42.969,-20.996,-38.086,-21.973,0.000
1595686202.323,-50.781,-21.484,-40.039,-29.785,0.000
1595686202.327,-45.410,-12.207,-37.598,-18.066,0.000
1595686202.331,-41.992,-8.789,-38.574,-11.230,0.000
1595686202.335,-44.922,-14.160,-40.039,-10.254,0.000
1595686202.339,-42.969,-14.648,-37.109,-11.719,0.000
1595686202.343,-48.340,-15.137,-36.133,-20.996,0.000
1595686202.346,-53.711,-19.043,-40.527,-19.531,0.000
1595686202.350,-38.086,-14.648,-37.598,-2.441,0.000
1595686202.354,-29.785,-9.766,-32.227,3.906,0.000
1595686202.358,-33.203,-14.160,-35.156,-1.953,0.000
1595686202.362,-35.156,-19.043,-40.039,-4.883,0.000
1595686202.366,-48.828,-21.973,-46.387,-21.973,0.000
1595686202.370,-45.898,-25.879,-44.434,-30.762,0.000
1595686202.374,-30.273,-26.367,-42.480,-18.066,0.000
1595686202.378,-38.086,-19.043,-44.434,-16.113,0.000
1595686202.382,-44.922,-15.625,-39.551,-20.020,0.000
1595686202.385,-41.504,-16.113,-37.598,-7.812,0.000
1595686202.389,-32.227,-16.602,-42.969,4.395,0.000
1595686202.393,-24.902,-16.602,-45.410,-0.488,0.000
1595686202.397,-26.855,-16.602,-44.922,-17.578,0.000
1595686202.401,-31.738,-15.137,-46.387,-27.344,0.000
1595686202.405,-25.879,-7.812,-40.527,-15.625,0.000
1595686202.409,-19.043,-7.324,-34.668,-6.836,0.000
1595686202.413,-21.484,-13.672,-34.180,1.465,0.000
1595686202.417,-24.902,-11.719,-28.809,8.789,0.000
1595686202.421,-34.180,-12.207,-25.879,10.742,0.000
1595686202.425,-39.062,-14.648,-27.344,17.578,0.000
1595686202.428,-31.738,-14.160,-27.344,11.719,0.000
1595686202.432,-31.250,-15.137,-29.297,-1.465,0.000
1595686202.436,-33.691,-11.719,-30.273,-4.395,0.000
1595686202.440,-31.250,-8.301,-29.297,-0.488,0.000
1595686202.444,-31.250,-9.277,-33.691,-7.324,0.000
1595686202.448,-23.926,-12.695,-34.180,-8.301,0.000
1595686202.452,-18.555,-19.531,-32.227,-3.906,0.000
1595686202.456,-23.438,-20.996,-32.715,-7.812,0.000
1595686202.460,-25.391,-15.137,-27.832,-7.324,0.000
1595686202.464,-27.344,-8.301,-22.461,-2.930,0.000
1595686202.468,-34.180,-7.812,-23.926,-2.930,0.000
1595686202.471,-40.039,-12.207,-32.715,0.000,0.000
1595686202.475,-38.574,-14.160,-39.062,-2.441,0.000
1595686202.479,-37.109,-17.090,-39.551,-8.789,0.000
1595686202.483,-33.691,-20.020,-38.086,-13.184,0.000
1595686202.487,-38.086,-16.113,-37.598,-23.926,0.000
1595686202.491,-38.574,-13.184,-38.574,-22.461,0.000
1595686202.495,-39.062,-13.184,-38.574,-19.531,0.000
1595686202.499,-41.016,-13.672,-33.691,-18.555,0.000
1595686202.503,-44.434,-14.648,-36.621,-17.090,0.000
1595686202.507,-49.316,-12.695,-36.621,-8.301,0.000
1595686202.510,-41.992,-14.160,-37.109,-6.836,0.000
1595686202.514,-37.598,-17.578,-42.969,-18.555,0.000
1595686202.518,-49.805,-18.555,-43.945,-19.043,0.000
1595686202.522,-61.035,-21.484,-40.527,-21.484,0.000
1595686202.526,-61.035,-26.855,-38.574,-24.414,0.000
1595686202.530,-51.758,-25.391,-39.551,-22.461,0.000
1595686202.534,-38.574,-18.555,-43.945,-13.184,0.000
1595686202.538,-36.621,-16.602,-43.457,-10.742,0.000
1595686202.542,-41.992,-19.531,-42.969,-19.043,0.000
1595686202.546,-46.875,-23.926,-41.504,-12.207,0.000
